date	open	high	low	close
2010-07-21	21	21	20	20
2010-06-30	26	30	23	24
2010-07-15	20	22	19	20
2010-07-27	21	21	20	21
2010-07-19	21	22	21	22
2010-07-23	21	22	21	21
2010-07-28	21	21	21	21
2010-08-02	21	21	20	21
2010-07-29	21	21	20	20
2010-08-03	21	22	21	22
2010-08-06	20	20	20	20
2010-08-04	22	22	21	21
2010-08-09	20	20	19	20
2010-08-12	18	18	17	18
2010-08-10	20	20	19	19
2010-08-13	18	18	18	18
2010-08-16	18	19	18	19
2010-08-19	19	19	18	19
2010-08-17	19	19	19	19
2010-08-20	19	19	19	19
2010-08-23	19	20	19	20
2010-08-26	20	20	20	20
2010-08-24	19	20	19	19
2010-08-27	20	20	20	20
2010-08-30	20	20	20	20
2010-09-02	20	21	20	21
2010-08-31	20	20	19	19
2010-09-03	21	21	21	21
2010-09-07	21	21	21	21
2010-09-08	21	21	21	21
2010-09-09	21	21	21	21
2010-09-10	21	21	20	20
2010-09-13	21	21	21	21
2010-09-14	21	22	21	21
2010-09-15	21	22	21	22
2010-09-16	22	23	21	21
2010-09-17	21	21	20	20
2010-09-20	21	21	20	21
2010-09-21	21	22	21	21
2010-09-22	21	21	20	20
2010-09-23	20	20	20	20
2010-09-28	21	21	21	21
2010-09-24	20	20	20	20
2010-09-29	21	22	21	22
2010-09-30	22	22	20	20
2010-10-01	21	21	20	21
2010-10-06	21	21	20	20
2010-10-04	20	21	20	21
2010-10-07	21	21	20	20
2010-10-08	20	21	20	20
2010-10-11	20	21	20	20
2010-10-14	21	21	20	21
2010-10-12	20	20	20	20
2010-10-15	21	21	20	21
2010-10-18	21	21	20	20
2010-10-19	20	20	20	20
2010-10-22	21	21	21	21
2010-10-20	20	21	20	21
2010-10-25	21	21	21	21
2010-10-26	21	22	21	21
2010-10-27	21	21	21	21
2010-10-28	21	22	21	21
2010-10-29	21	22	21	22
2010-11-01	22	23	21	21
2010-11-02	22	22	21	21
2010-11-03	21	23	21	22
2010-11-04	23	25	22	25
2010-11-05	25	25	24	24
2010-11-08	25	25	24	25
2010-11-09	25	26	24	25
2010-11-10	24	30	24	29
2010-11-11	29	29	27	28
2010-11-12	28	31	28	30
2010-11-15	30	33	30	31
2010-11-16	31	31	28	30
2010-11-17	30	31	29	29
2010-11-18	31	31	29	30
2010-11-19	30	31	30	31
2010-11-22	32	33	32	33
2010-11-23	33	36	32	35
2010-11-24	35	36	34	35
2010-11-26	36	36	35	35
2010-11-29	35	36	33	34
2010-11-30	34	35	33	35
2010-12-01	36	36	33	34
2010-12-02	34	34	31	32
2010-12-03	32	32	31	31
2010-12-06	31	31	30	30
2010-12-07	30	32	30	32
2010-12-08	32	32	32	32
2010-12-09	33	33	32	32
2010-12-10	32	33	31	32
2010-12-13	32	32	30	31
2010-12-14	30	30	28	29
2010-12-15	29	30	29	30
2010-12-16	30	31	30	31
2010-12-17	31	32	31	31
2010-12-20	32	32	31	32
2010-12-21	32	33	32	32
2010-12-22	32	33	32	33
2010-12-23	31	32	30	30
2010-12-29	27	28	27	28
2010-12-27	28	29	25	26
2010-12-30	28	28	26	27
2010-12-31	27	27	27	27
2011-01-03	27	27	26	27
2011-01-04	27	27	26	27
2011-01-07	28	29	28	28
2011-01-05	26	27	26	27
2011-01-10	28	29	28	28
2011-01-11	29	29	27	27
2011-01-12	27	27	27	27
2011-01-13	27	27	26	26
2011-01-19	25	25	24	24
2011-01-14	26	27	26	26
2011-01-20	24	24	22	23
2011-01-21	23	24	23	23
2011-01-24	24	25	23	24
2011-01-25	25	25	24	25
2011-01-28	25	25	24	24
2011-01-26	25	25	24	25
2011-01-31	24	24	24	24
2011-02-01	24	25	24	24
2011-02-02	24	24	24	24
2011-02-03	24	24	23	24
2011-02-04	23	24	23	23
2011-02-07	23	23	23	23
2011-02-08	24	25	23	24
2011-02-09	24	24	23	23
2011-02-10	23	24	23	23
2011-02-11	23	24	23	23
2011-02-14	24	24	23	23
2011-02-15	23	23	23	23
2011-02-16	23	25	23	25
2011-02-17	25	25	24	24
